question_no,question,0,1,2,3,answer,category
91,भारत के निम्न में से किस राज्य में परुषों की संख्या स्त्रियों से कम है ?,बिहार,राजस्थान,केरल,महाराष्ट्र,C,Indian GK
92,भारत में सबसे ऊँचा बाँध भाखड़ा किस नदी पर बना है ?,झेलम,सतलुज,गोदावरी,व्यास,B,Indian GK
93,भारत की पहली आइरन स्टील कम्पनी कहाँ स्थित है ?,जमशेदपुर में,हीरापुर में,मुम्बई में,गुवाहाटी में,A,Indian GK
94,भारत का कौन सा राज्य शक़्कर का कटोरा कहलाता है ?,आन्ध्र प्रदेश,तमिलनाडु,हिमाचल प्रदेश,उत्तर प्रदेश,D,Indian GK
95,भारत में कितने राष्ट्रीय राजमार्ग हैं ?,95,115,195,228,D,Indian GK
96,"भारत का एकमात्र स्थान, जहाँ टीन पाया जाता है ?",रीवा,हजारीबाग,सूरत,अहमदाबाद,B,Indian GK
97,वह नदी घाटी जिसे भारत का रुर के नाम से पुकारा जाता है ?,गोदावरी,दामोदर,पेरियार,हुगली,B,Indian GK
98,भारत में किस राज्य को भारत का खाद्यान्न भण्डार के रूप में जाना जाता है ?,उत्तर प्रदेश,पंजाब,हरियाणा,तमिलनाडु,B,Indian GK
99,शान्त घाटी स्थित है ?,तमिलनाडु में,हिमाचल प्रदेश में,केरल में,अरुणाचल प्रदेश में,C,Indian GK
100,मदुरै कहाँ है ?,तमिलनाडु में,आन्ध्र प्रदेश में,सिक्किम में,मेघालय में,A,Indian GK
101,भारतीय वानस्पतिक सर्वेक्षण का मुख्यालय कहाँ स्थित है ?,कोलकाता में,लखनऊ में,दार्जिलिंग में,इनमें से कोई नहीं,B,Indian GK
102,भारत में ऊर्जा का सर्वाधिक महत्वपूर्ण स्त्रोत है ?,नाभिकीय ऊर्जा,कोयला,पेट्रोल,जल विद्युत,B,Indian GK
103,राष्ट्रीय विज्ञान दिवस किस मनाया जाता है ?,25 मार्च,28 फरवरी,22 दिसम्बर,5 जून,B,Indian GK
104,भारत के तट रेखा की लम्बाई है ?,1500 किमी.,6100 किमी,6590 किमी,6500 किमी,B,Indian GK
105,भारत में समुद्री तट रेखा वाले राज्यों की संख्या कितनी है ?,10,8,9,6,C,Indian GK
106,भारत की मुख्य भूमि का दक्षिणी नोक है ?,कैलीमेयर प्वाइण्ट,केप केमोरिन,इन्दिरा प्वाइण्ट,इनमें से कोई नहीं,B,Indian GK
107,भारत का सबसे दक्षिणी बिन्दु है ?,केप केमोरिन,कैलीमेयर प्वाइण्ट,इन्दिरा प्वाइण्ट,नॉरीमन प्वाइण्ट,C,Indian GK
108,भारत और चीन के बीच कौन-सी रेखा सीमा निर्धारण करने का कार्य करती है ?,रेडक्लिफ रेखा,डूरण्ड रेखा,मैकमोहन रेखा,इनमें से कोई नहीं,C,Indian GK
109,भारत एवं पाकिस्तान को विभाजित करने वाली रेखा कहलाती है ?,रेडक्लिफ रेखा,डूरण्ड रेखा,मैकमोहन रेखा,इनमें से कोई नहीं,A,Indian GK
110,भारत की सबसे लम्बी स्थलीय सीमा किस देश के साथ है ?,पाकिस्तान,चीन,बांग्लादेश,म्यान्मार,C,Indian GK
111,भारत का पूर्वी समुद्री तट किस नाम से जाना जाता है ?,दीघा तट,मालावार तट,कोंकण तट,कोरोमण्डल तट,D,Indian GK
112,भारत किस गोलार्द्ध में स्थित है ?,दक्षिणी और पूर्वी,उत्तरी और पूर्वी,उत्तरी और पश्चिमी,इनमें से कोई नहीं,B,Indian GK
113,भारत की सबसे बड़ी सुरंग जवाहर सुरंग किस राज्य में अवस्थित है ?,राज्यस्थान,पश्चिम बंगाल,जम्मू और कश्मीर,हिमाचल प्रदेश,C,Indian GK
114,सियाचिन ग्लेशियर भारत के किस राज्य में है ?,हिमाचल प्रदेश,उत्तर प्रदेश,जम्मू कश्मीर,सिक्किम,C,Indian GK
115,निम्नलिखित में से भारत की सुदूर दक्षिण भौगोलिक इकाई कौन-सी है ?,लक्षद्वीप,रामेश्वर,कन्याकुमारी,निकोबार द्वीप समूह,D,Indian GK
116,भारत का दक्षिणी नोक है ?,इन्दिरा बिन्दु,केप केमोरिन,कैलीमेयर बिन्दु,इनमें से कोई नहीं,B,Indian GK
111,भारत का पूर्वी समुद्री तट किस नाम से जाना जाता है ?,दीघा तट,मालावार तट,कोंकण तट,कोरोमण्डल तट,A,Indian GK
118,भारत में कितने राज्य तट रेखा से लगे हैं ?,7,8,9,10,C,Indian GK
119,उत्तर भारत में उप हिमालय क्षेत्र के सहारे फैले समतल मैदान को क्या कहा जाता है ?,भावर,खादर,दून,तराई,A,Indian GK
120,भारत की उतरी सीमा पर स्थित पर्वत है ?,मैकाल,हिमालय,नीलगिरी,अरावली,B,Indian GK
121,"भारत के किस प्रदेश की सीमाएँ तीन देशों क्रमशः नेपाल, भूटान एवं चीन से मिलती है ?",मेघालय,अरुणाचल प्रदेश,पश्चिम बंगाल,सिक्किम,D,Indian GK
122,भारत का सर्वोच्च पर्वत शिखर है ?,कंचनजंगा,नन्दा देवी,गाडविन आस्टिन,नंगा पर्वत,C,Indian GK
123,भारत की कौन-सी पर्वत श्रेणी नवीनतम है ?,हिमालय,सहयाद्रि,अरावली,सतपुड़ा,A,Indian GK
124,भारत में निम्नलिखित में से कौन-सी पर्वत श्रेणी केवल एक राज्य में फैली हुई है ?,अरावली,अजन्ता,सतपुड़ा,इनमें से कोई नहीं,B,Indian GK
125,अरावली पर्वत का सर्वोच्च शिखर क्या कहलाता है ?,गुरुशिखर,सेर,दोदाबेट्टा,इनमें से कोई नहीं,A,Indian GK
126,निम्नलिखित में से सबसे प्राचीन पर्वत श्रेणी कौन-सी है ?,विन्ध्य,हिमालय,अरावली,सतपुड़ा,C,Indian GK
127,तुजू दर्रा भारत को किस देश से जोड़ता है ?,म्यान्मार,चीन,नेपाल,भूटान,A,Indian GK
128,भारत की सबसे बड़ी वाह नदी है ?,नर्मदा,महानदी,गंगा,गोदावरी,C,Indian GK
Show Answer129,नर्मदा नदी का अधिकांश भाग भारत के किस राज्य में बहता है ?,मध्य प्रदेश,राजस्थान,गुजरता,महाराष्ट्र,A,Indian GK
130,निम्नलिखित में से किस नदी का उद्गम स्थल भारत में नहीं है ?,चिनाब,रावी,सतलज,व्यास,C,Indian GK
131,भारत की सबसे बड़ी मीठे जल की झील निम्नलिखित में से कौन-सी है ?,पुष्कर,लोकटक,वूलर,डल,C,Indian GK
132,उत्तर-पूर्वी भारत की सबसे बड़ी झील लोकटक किस राज्य में स्थित है ?,मेघालय,मणिपुर,त्रिपुरा,मिजोरम,B,Indian GK
133,भारत में ताजे जल की सबसे बड़ी झील वूलर किस राज्य में स्थित है ?,उत्तर प्रदेश,जम्मू-कश्मीर,उत्तराखंड,हिमाचल प्रदेश,B,Indian GK
134,भारत की प्रसिद्ध लैगून झील है ?,मानसरोवर,चिल्का झील,पुलीकट,डल झील,B,Indian GK
135,भारत के किस राज्य में फुल्हर झील स्थित है ?,उत्तराखण्ड में,बिहार में,म. प्र. में,उ. प्र. में,D,Indian GK
136,भारत में प्रथम बहुउद्देश्यीय नदी घाटी परियोजना का निर्माण निम्न में से किस नदी पर किया गया है ?,कावेरी,गोदावरी,दामोदर,कोयना,C,Indian GK
137,भारत के कोरोमण्डल तट सर्वाधिक वर्षा होती है ?,जून-सितम्बर में,अक्टूबर-नवम्बर में,जनवरी-फरवरी में,मार्च-मई में,B,Indian GK
138,भारत में सर्वाधिक वर्षा प्राप्त करने वाला स्थान है ?,मावसिनराम,बीकानेर,शिमला,इनमें से कोई नहीं,A,Indian GK
139,भारत-पाक बगलिहार परियोजना निम्नलिखित नदियाँ में से किस एक पर स्थित है ?,झेलम,सतलज,व्यास,चिनाव,D,Indian GK
140,भारत के किस राज्य में जाड़े के मौसम में वर्षा होती है ?,उड़ीसा,प. बंगाल,केरल,तमिलनाडु,A,Indian GK
141,भारत के पश्चिमी समुद्री तट पर वर्षा किस मानसून से होती है ?,दक्षिण-पूर्व,दक्षिण-पश्चिम,उत्तर-पूर्व,उत्तर-पश्चिम,B,Indian GK
142,भारतीय वन सर्वेक्षण विभाग का मुख्यालय कहाँ स्थित है ?,नई दिल्ली,देहरादून,भोपाल,नागपुर,B,Indian GK
143,"भारत में वृक्षारोपण उत्सव जिसे 'वन महोत्सव' के नाम से जाना जाता है, के जन्मदाता कौन हैं ?",जवाहरलाल नेहरू,विनोबा भावे,के. एम. मुंशी,महात्मा गाँधी,C,Indian GK
144,विश्व के कुल वन क्षेत्रफल का कितना प्रतिशत हिस्सा भारत में है ?,2.11 %,2.82 %,1.9 %,इनमें से कोई नहीं,B,Indian GK
145,भारतीय वन सर्वेक्षण विभाग की स्थापना कब की गई थी ?,1999 ई. में,1989 ई. में,1981 ई. में,इनमें से कोई नहीं,C,Indian GK
146,भारत में चन्दन की लकड़ी के लिए प्रसिद्ध राज्य है ?,नई दिल्ली,केरल,कर्नाटक,असम,C,Indian GK
147,भारत के प्रमुख वनस्पति कौन-सी है ?,वर्षा सबाना,पतझड़ वन,कांटेदार,झाड़ियाँ,B,Indian GK
148,भारत में दुधवा राष्ट्रीय उद्यान कहाँ स्थित है ?,मध्य प्रदेश,तमिलनाडु,उत्तर प्रदेश,कर्नाटक,C,Indian GK
149,भारत में कान्हा राष्ट्रीय उद्यान कहाँ स्थित है ?,असम,राजस्थान,उत्तर प्रदेश,मध्य प्रदेश,D,Indian GK
150,भारत में जिम कार्बेट राष्ट्रीय उद्यान कहाँ स्थित है ?,असम,महाराष्ट्र,उत्तर प्रदेश,इनमें से कोई नहीं,D,Indian GK
151,भारत में सबसे बड़ा बाघ अभयारण्य है ?,कार्बेट,नागार्जुन,मानस,पेंच,A,Indian GK
152,भारतीय कृषि अनुसंधान परिषद के अनुसार भारत में कितने प्रकार की मिट्टियाँ पायी जाती है ?,4,5,6,8,D,Indian GK
153,भारत की सर्वाधिक महत्पूर्ण मिट्टी कौन-सी है ?,काली,लाल,लैटेराइट,जलोढ़,D,Indian GK
154,भारत की सर्वाधिक क्षेत्र पर किस प्रकार की मिट्टी का विस्तार पाया जाता है ?,लाल,लैटेराइट,जलोढ़,काली,C,Indian GK
155,भारत के समस्त स्थल भाग का कितना प्रतिशत जलोढ़ मिट्टी से ढँका है ?,21 %,22 %,24 %,27 %,C,Indian GK
156,भारत में सिंचाई का सबसे प्रमुख साधन है ?,नहरें,तालाब,कुँए,नलकूप और कुँए,C,Indian GK
157,भारत के किस भाग में तालाब का सिंचाई के साधन के रूप में सर्वाधिक प्रयोग होता है ?,पूर्वी,पश्चिमी,दक्षिणी,उत्तरी,D,Indian GK
158,भारत का सबसे बड़ा चावल उत्पादक राज्य है ?,आ. प्र.,उत्तर-प्रदेश,प. बंगाल,पंजाब,C,Indian GK
159,भारत में नहर द्वारा सिंचाई में कौन-सा राज्य अग्रणी है ?,तमिलनाडु,पंजाब,राजस्थान,महाराष्ट्र,B,Indian GK
160,रेगुड़ मिट्टी सबसे ज्यादा है ?,कर्नाटक में,महाराष्ट्र में,मध्य प्रदेश में,देहरादून में,B,Indian GK
161,भारत में काली कपासी मिट्टी को किस नाम से जाना जाता है ?,तराई,रेगुड़,बांगर,खादर,B,Indian GK
162,भारत की प्रमुख खाद्य फसल है ?,गेहूँ,चावल,गन्ना,चना,B,Indian GK
163,भारत की सर्वाधिक एकड़ भूमि में कौन-सी फसल उगायी जाती है ?,धान,गेहूँ,गन्ना,मक्का,A,Indian GK
164,भारत का सबसे बड़ा मूंगफली उत्पादक राज्य है ?,महाराष्ट्र,गुजरात,राजस्थान,इनमें से कोई नहीं,B,Indian GK
165,भारत का सबसे बड़ा सोयाबीन उत्पादक राज्य है ?,मध्य प्रदेश,उत्तर प्रदेश,कर्नाटक,केरल,A,Indian GK
166,भारत का सबसे बड़ा काजू उत्पादक राज्य है ?,महाराष्ट्र,गुजरात,केरल,कर्नाटक,C,Indian GK
167,भारत का कौन-सा राज्य भारत का अग्रणी दलहन उत्पादक है ?,नई दिल्ली,राजस्थान,तमिलनाडु,पंजाब,B,Indian GK
168,भारत का वह एक मात्र राज्य जो केशर का उत्पादन करता है ?,सिक्किम,जम्मू-कश्मीर,उत्तराखंड,इनमें से कोई नहीं,B,Indian GK
169,भारत में रेशम का सबसे अधिक उत्पादन करने वाला राज्य कौन-सा है ?,सिक्किम,जम्मू-कश्मीर,कर्नाटक,हिमाचल प्रदेश,C,Indian GK
170,फल उत्पादन में भारत का विश्व में कौन-सा स्थान है ?,प्रथम,द्वितीय,तृतीय,चतुर्थ,A,Indian GK
171,सब्जी उत्पादन में भारत का विश्व में कौन-सा स्थान है ?,प्रथम,द्वितीय,तृतीय,चतुर्थ,B,Indian GK
172,भारत का कौन-सा राज्य जूट का प्रमुख उत्पादक है ?,हिमाचल प्रदेश,बिहार,प. बंगाल,इनमें से कोई नहीं,C,Indian GK
173,भारत में सर्वोत्तम चाय कहाँ पैदा होती है ?,दार्जिलिंग,जोरहट,नीलगिरि,इनमें से कोई नहीं,A,Indian GK
174,भारत में सबसे ज्यादा चाय किस राज्य में पैदा होती है ?,केरल,महाराष्ट्र,असम,इनमें से कोई नहीं,C,Indian GK
175,भारत के सबसे बड़ा कहवा उत्पादक राज्य है ?,कर्नाटक,महाराष्ट्र,गुजरात,उत्तर प्रदेश,A,Indian GK
176,भारत के सबसे बड़ा गन्ना उत्पादक राज्य है ?,तमिलनाडु,पंजाब,मध्य प्रदेश,उत्तर प्रदेश,D,Indian GK
177,भारत में प्राकृतिक रबड़ का सबसे अधिक उत्पादन किस राज्य होता है ?,असम,केरल,गुजरात,महाराष्ट्र,B,Indian GK
178,भारत में स्वच्छ जलीय मछली का सबसे बड़ा उत्पादक राज्य है ?,प. बंगाल,बिहार,हिमाचल प्रदेश,इनमें से कोई नहीं,A,Indian GK
179,भारत में दूध उत्पादन में अग्रणी राज्य है ?,मध्य प्रदेश,उत्तर प्रदेश,पंजाब,हरियाणा,B,Indian GK
180,भारत में ऑपरेशन फ्लड कार्यक्रम का प्रारम्भ कब हुआ था ?,1952 ई.,1973 ई.,1970 ई.,इनमें से कोई नहीं,C,Indian GK
181,भारत का सर्वाधिक पटसन उत्पादक राज्य है ?,प. बंगाल,बिहार,हिमाचल प्रदेश,इनमें से कोई नहीं,A,Indian GK
182,भारत में सर्वाधिक गेहूँ उत्पादक राज्य कौन-सा है ?,मध्य प्रदेश,पंजाब,तमिलनाडु,उत्तर प्रदेश,D,Indian GK
183,भारत में सर्वाधिक कॉफी उत्पादक राज्य कौन-सा है ?,तमिलनाडु,कर्नाटक,केरल,महाराष्ट्र,B,Indian GK
184,भारत में किस खाद्य फसल का उत्पादन सबसे अधिक होता है ?,ज्वार,मक्का,चावल,गेहूँ,C,Indian GK
185,भारत में ऊर्जा उत्पादन में सर्वाधिक भागीदारी है ?,जल-विद्युत्,ताप-विद्युत्,सौर-ऊर्जा,परमाणु-विद्युत्,B,Indian GK
186,भारत का प्रथम परमाणु ऊर्जा उत्पादन केन्द्र है ?,नरौरा,काकरापार,तारापुर,इनमें से कोई नहीं,C,Indian GK
187,भारत में विद्युत् आपूर्ति सबसे पहले कहाँ शुरू हुई ?,मुम्बई,कोलकाता,चेन्नई,दार्जिलिंग,D,Indian GK
188,भारत के वाणिज्यिक ऊर्जा की कितना प्रतिशत पूर्ति कोयले से होती है ?,65 %,56 %,53 %,67 %,D,Indian GK
189,निम्नलिखित में से कौन-सा भारत में वाणिज्यिक ऊर्जा का प्रधान स्त्रोत है ?,कोयला,प्राकृतिक गैस,नाभिकीय ऊर्जा,खनिज तेल,A,Indian GK
190,भारत में सर्वाधिक लोहा पैदा करने वाला राज्य है ?,उड़ीसा,छत्तीसगढ़,झारखण्ड,चेन्नई,B,Indian GK
191,भारत का सर्वाधिक जस्ता उत्पादक राज्य है ?,राजस्थान,जम्मू-कश्मीर,सिक्किम,महाराष्ट्र,A,Indian GK
192,भारत में बॉक्साइट का सबसे बड़ा उत्पादक राज्य कौन है ?,भोपाल,नागपुर,उड़ीसा,झारखण्ड,C,Indian GK
193,भारत में सर्वाधिक हीरा निम्न में से किस स्थान से निकाला जाता है ?,गोलकुण्डा,क्विलोन,पन्ना,जयपुर,C,Indian GK
194,भारत में स्वर्ण कहाँ पाया जाता है ?,कोलार,पन्ना,मोतीपुरा,इनमें से कोई नहीं,A,Indian GK
195,भारत में सर्वाधिक कोयला भण्डार पाए जाते हैं ?,झारखण्ड,छत्तीसगढ़,उड़ीसा,प. बंगाल,A,Indian GK
196,भारत में खनिज तेल के भण्डार मुख्यतः किस प्रकार की चट्टानों में पाये जाते हैं ?,अवसादी,कायान्तरित,आग्नेय,इनमें से कोई नहीं,A,Indian GK
197,भारत में खनिज तेल का उत्पादन सर्वप्रथम प्रारम्भ किया गया था ?,डिग्बोई में,नहरकटिया में,अंकलेश्वर में,इनमें से कोई नहीं,A,Indian GK
198,भारत की सबसे महत्वपूर्ण यूरेनियम खान कहाँ स्थित है ?,वाशी,जादूगोड़ा,गोरिविदनूर,इनमें से कोई नहीं,B,Indian GK
199,निम्नलिखित में से भारत का वह राज्य कौन-सा है जो गंधक के उत्पादन में आगे हैं ?,असम,महाराष्ट्र,पंजाब,तमिलनाडु,B,Indian GK
200,भारत में अंकलेश्वर किसके उत्पादन के लिए जाना जाता है ?,कोयला,यूरेनियम,पेट्रोलियम,ये सभी,C,Indian GK
201,भारत डाइनामाइट लिमिटेड केन्द्र कहाँ स्थित है ?,हैदराबाद,कोलकाता,चेन्नई,छत्तीसगढ़,A,Indian GK
202,भारत में यूरेनियम खद्यान कहाँ स्थित है ?,खेतड़ी,अल्वाय,जादूगोड़ा,सिंहभूम,C,Indian GK
203,भारत में नगरीय केन्द्रों की वर्गीकृत संख्या है ?,4,6,8,10,B,Indian GK
204,भारत में निम्नलिखित उद्योगों में से किस उद्योगों में सार्वजनिक क्षेत्र में सबसे अधिक पूँजी निवेश हुआ है ?,उर्वरक उद्योग,रंग-रोगन उद्योग,लौह-इस्पात उद्योग,दवा व रसायन उद्योग,C,Indian GK
205,भारतीय इस्पात प्राधिकरण लिमिटेड की स्थापना कब की गई थी ?,1961 ई.,1974 ई.,1988 ई.,इनमें से कोई नहीं,B,Indian GK
206,भारत में किस उद्योग में सर्वाधिक लोग कार्यरत हैं ?,जूट उद्योग में,कपड़ा उद्योग में,चीनी उद्योग में,इनमें से कोई नहीं,B,Indian GK
207,भारत में सीमेण्ट उत्पादन में अग्रणी राज्य है ?,राजस्थान,तमिलनाडु,मध्य प्रदेश,इनमें से कोई नहीं,A,Indian GK
208,भारत में कागज उद्योग का प्रथम सफल कारखाना सन् 1879 में निम्न में से किस स्थान पर लगाया गया ?,सिरामपुर,बालीगंज,लखनऊ,इनमें से कोई नहीं,C,Indian GK
209,भारत के किस नगर को 'इलेक्ट्रॉनिक उद्योग की राजधानी' कहा जाता है ?,बंगलौर,झारखण्ड,कानपुर,चेन्नई,A,Indian GK
210,भारत में प्रथम सूती कपड़े का कारखाना कहाँ स्थापित हुआ था ?,चेन्नई,छत्तीसगढ़,मुम्बई,कोलकाता,C,Indian GK
211,भारत का प्रथम स्टील प्रोजेक्ट शहर स्थापित किया गया ?,भिलाई,जमशेदपुर,बोकारो,कोलकाता,B,Indian GK
212,भारतीय रेल को कितने क्षेत्रों में विभक्त किया गया है ?,9,11,14,16,D,Indian GK
213,भारत में कितने प्रकार के रेल मार्ग है ?,2,3,4,5,B,Indian GK
214,भारत में बड़े बन्दरगाहों की संख्या कितनी है ?,8,12,15,17,B,Indian GK
215,भारत का 40% सड़क परिवहन होता है ?,राजकीय मार्ग से,राष्ट्रीय राजमार्ग से,ग्रामीण सड़कों से,इनमें से कोई नहीं,B,Indian GK
216,भारत में पहली बार जनगणना कब हुई थी ?,1861 ई.,1872 ई.,1886 ई.,1899 ई.,B,Indian GK
217,जनसंख्या की दृष्टि से विश्व के बड़े देशों में भारत का कौन-सा स्थान है ?,प्रथम,द्वितीय,तृतीय,चतुर्थ,B,Indian GK
218,भारत का सर्वाधिक नगरीकरण वाला राज्य है ?,महाराष्ट्र,गोवा,गुजरात,प. बंगाल,B,Indian GK
219,भारत में सबसे कब लिंगानुपात वाला राज्य है ?,नीलगिरि,हरियाणा,मिजोरम,राजस्थान,B,Indian GK
220,भारत के किस राज्य में महिलाओं की संख्या पुरुषों से अधिक है ?,बिहार,केरल,तमिलनाडु,कर्नाटक,B,Indian GK